成立以来日期,成立以来基金区间收益率,成立以来拟合指数区间收益率
2012-02-20,0.12651029231877,0.120081837401069
2012-02-21,0.12751570610604,0.121467689366196
2012-02-22,0.12885625782241,0.12336830244739
2012-02-23,0.12941482103756,0.124050668821977
2012-02-24,0.13142564861211,0.127032248945288
2012-02-27,0.13187249918423,0.12676744756155
2012-02-28,0.13164907389817,0.127059141385027
2012-02-29,0.1303085221818,0.125168648087084
2012-03-01,0.12986167160968,0.124988965564152
2012-03-02,0.13131393596908,0.127927258218721
2012-03-05,0.13109051068302,0.126527704586896
2012-03-06,0.12974995896665,0.123944607847227
2012-03-07,0.13142564861211,0.12314919227043
2012-03-08,0.13332476354362,0.125886455659824
2012-03-09,0.13555901640423,0.127732245011974
2012-03-12,0.13611757961938,0.127994258076598
2012-03-13,0.13768155662181,0.129857051205199
2012-03-14,0.13567072904726,0.123669736176235
2012-03-15,0.13600586697635,0.121626783900327
2012-03-16,0.13857525776605,0.124951362234047
2012-03-19,0.13958067155333,0.125473996252556
2012-03-20,0.1380166945509,0.122100152882949
2012-03-21,0.13756984397878,0.121979548574003
2012-03-22,0.13756984397878,0.121828878953701
2012-03-23,0.13701128076363,0.119966577838505
2012-03-26,0.13835183247999,0.120372865516037
2012-03-27,0.1380166945509,0.119852138047443
2012-03-28,0.13466531525999,0.114334180463771
2012-03-29,0.13298962561453,0.111761752386186
2012-03-30,0.13332476354362,0.113148044842594
2012-04-05,0.13678785547757,0.117247145941899
2012-04-06,0.13768155662181,0.117540894886372
2012-04-09,0.13790498190787,0.115230041656479
2012-04-10,0.13756984397878,0.117133804619801
2012-04-11,0.13745813133575,0.117627003399112
2012-04-12,0.13991580948242,0.121270941030957
2012-04-13,0.1405860853406,0.121904327607966
2012-04-16,0.14080951062666,0.121652391988529
2012-04-17,0.13980409683939,0.119588069837262
2012-04-18,0.14248520027212,0.123750012827325
2012-04-19,0.14270862555818,0.123205962302587
2012-04-20,0.14505459106182,0.126433736465024
2012-04-23,0.14483116577576,0.125166116494617
2012-04-24,0.14438431520364,0.125656027078336
2012-04-25,0.14527801634788,0.127209900006251
2012-04-26,0.14516630370485,0.127187300602286
2012-04-27,0.14538972899091,0.126529392837175
2012-05-02,0.14818254506667,0.130933988788731
2012-05-03,0.14885282092485,0.131075482231004
2012-05-04,0.15064022321334,0.132209046156485
2012-05-07,0.15220420021577,0.132456840219218
2012-05-08,0.15175734964364,0.13214993336814
2012-05-09,0.15008165999819,0.128918824374842
2012-05-10,0.14963480942607,0.129859720691644
2012-05-11,0.1497465220691,0.130092364473681
2012-05-14,0.14941138414,0.132106257694471
